,time_id,road_id,segment,flow,speed,var_flow_8,var_speed_8,var_space_flow_8,var_space_speed_8,diff_flow_8,diff_speed_8,diff_kalman_flow,diff_kalman_speed,result_flow,is_crash
420,1,5,207,106,51,56.0,29.2,707.6380952,165.8857143,-12.5,7.75,-61.2415393,3.29778529,0.0,0
421,1,3,107,176,36,28.8,3.3,2216.980952,124.8095238,-1.75,0.5,-1.7540844,-0.37894351,0.0,0
422,1,3,228,44,87,293.5,835.3,1175.971429,682.6380952,-13.75,33.0,-7.12117817,0.95152274,0.0,1
423,1,2,210,147,30,125.7,12.5,977.552381,39.92380952,16.5,6.25,15.5989754,0.75975006,0.0,0
424,1,6,101,54,54,417.2,7.7,2958.766667,12.71111111,-9.75,-6.0,26.69105258,-3.82081337,0.0,0
425,1,3,223,118,42,92.3,36.5,338.5,70.1,0.75,7.5,1.7191057,4.91674414,0.0,1
426,1,1,216,155,59,242.3,9.3,1301.314286,12.54285714,5.5,-5.5,8.9389688,-3.29126498,0.0,0
427,1,3,108,69,64,60.5,2.7,1741.285714,83.17142857,-11.25,1.5,-7.41221889,0.70992303,0.0,0
428,1,4,110,174,68,649.3,13.2,1005.257143,656.7809524,53.0,-7.75,20.6339747,0.44350509,0.0,0
429,1,2,111,153,58,371.2,21.7,1043.352381,71.95238095,-7.25,4.0,-0.6252886,-0.03162598,0.0,0
430,0,1,109,95,71,235.5,3.7,366.2857143,2.142857143,-8.75,-0.25,-1.83321254,0.00020799,0.0,0
431,1,3,118,90,20,105.7,31.3,366.2095238,329.6380952,8.5,-7.0,7.03454381,-0.58147567,0.0,0
432,1,4,125,163,58,118.2,43.3,1047.780952,658.3142857,-20.25,-14.5,-10.4054172,0.12117581,0.0,0
433,1,3,110,103,27,475.7,52.8,272.552381,289.2571429,38.5,14.5,15.86429725,0.39545064,0.0,0
434,1,4,133,189,19,280.2,2.5,976.8285714,818.8857143,27.75,2.5,12.4233256,-0.21160188,0.0,0
435,0,4,133,2,71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.029727442,0.0,0.0,0
436,1,6,110,135,77,220.0,3.0,220.0,3.0,7.5,1.25,115.3280766,0.16294442,0.0,0
437,0,2,109,41,72,57.7,0.0,72.68571429,15.0,-5.25,0.0,-2.17140275,0.0,0.0,0
438,0,1,111,38,70,63.5,0.0,48.94444444,1.111111111,15.0,0.0,8.0273906,0.0,0.0,0
439,1,2,112,93,72,735.3,48.7,384.9809524,110.4952381,-15.75,6.5,-14.7936183,3.63321036,0.0,0
440,1,6,110,137,60,439.3,392.7,439.3,392.7,-26.75,16.5,99.35912405,0.24008492,0.0,1
441,1,2,108,189,68,139.7,8.7,1875.4,15.6952381,8.5,-5.25,1.6658706,2.03493934,0.0,0
442,1,2,110,194,68,134.3,1.8,4243.6,3.685714286,0.75,0.75,-0.5465023,-0.05529634,0.0,0
443,0,2,205,26,82,59.2,0.0,74.1,6.944444444,-2.25,0.0,-3.48048546,4e-06,0.0,0
444,1,3,224,82,22,7.5,0.8,297.2571429,72.98095238,-5.0,-0.75,-3.09418581,-0.159095,0.0,0
445,1,4,112,190,62,1648.8,28.7,787.2380952,965.4095238,44.5,-6.0,15.5593212,-3.63862086,0.0,0
446,1,2,102,98,26,55.2,9.0,113.4952381,85.85714286,2.75,0.0,-1.11040687,0.67054989,0.0,1
447,1,1,108,186,69,194.2,1.2,2841.4,110.9238095,24.75,-2.25,7.6370251,-0.11401263,0.0,0
448,1,4,108,60,5,1571.0,201.7,2980.409524,72.97142857,-23.75,-12.25,-2.16292749,-0.01392346,0.0,0
449,1,4,111,229,53,479.0,31.2,996.4095238,58.55238095,26.25,-8.5,4.5093887,0.17854817,0.0,0
450,1,6,209,58,59,203.2,15.2,100.5238095,28.74285714,-15.25,4.75,59.0,1.3039658,0.0,0
451,1,5,108,68,71,167.2,13.3,174.2666667,6.923809524,15.25,-1.75,-1.86884947,-0.27852831,0.0,0
452,1,2,113,105,81,1248.2,28.3,1144.638095,160.9809524,40.25,-3.25,23.60058564,-0.07620455,0.0,0
453,0,3,210,32,79,29.7,12.7,120.4952381,7.638095238,-4.75,4.75,-3.58603721,2.25283214,0.0,0
454,0,3,109,55,75,98.5,1.2,273.5714286,31.02857143,-12.5,-0.25,-8.39400431,0.0216432,0.0,0
455,1,2,102,92,21,892.2,14.0,666.0952381,100.0952381,-20.25,-5.0,-7.77202781,-2.09136164,0.0,1
456,0,5,102,7,75,22.0,9.7,132.8380952,17.52380952,-7.5,3.5,-112.8480139,4.01962006,0.0,0
457,0,4,107,50,72,158.8,2.2,154.0666667,13.85714286,-28.0,2.25,-8.30351239,0.15747031,0.0,0
458,0,4,126,38,76,24.8,1.7,42.45714286,2.428571429,4.5,-1.5,4.38323504,-0.16380549,0.0,0
459,0,4,219,85,78,55.8,0.3,178.5714286,9.838095238,8.25,-0.75,-148.0278779,-0.14293206,0.0,0
460,0,3,116,24,83,293.3,24.5,301.3809524,400.7428571,-15.75,7.5,-14.85314782,7.48000088,0.0,0
461,1,2,216,104,13,1086.8,3.0,2630.409524,24.57142857,-68.0,-3.75,-34.0429963,0.02911154,-272.3439704,0
462,1,4,227,167,70,211.7,1.0,598.6952381,4.666666667,12.25,-1.25,-59.8309249,-0.15965542,0.0,0
463,1,3,105,72,16,2091.3,33.7,1098.142857,102.2666667,-79.25,-12.25,-44.0778585,3.59865851,-198.3503633,0
464,0,2,208,45,81,54.2,1.3,187.4095238,17.92380952,-5.25,-1.75,-4.81748739,-0.14518285,0.0,0
465,1,4,112,114,76,140.8,1.5,315.2571429,995.2095238,-7.0,0.0,-6.0744922,0.35720419,0.0,0
466,1,4,134,108,77,83.0,6.5,881.4571429,682.6,3.75,2.5,-1.3831001,2.4597546,0.0,0
467,1,4,111,136,3,166.0,0.2,365.2380952,941.4095238,-21.25,-1.0,-6.0243002,0.002534357,-273.1016091,1
468,1,5,108,55,73,162.8,7.7,71.57142857,12.95238095,-5.75,2.75,-49.1058265,0.51603068,0.0,0
469,1,4,126,211,41,142.8,13.3,448.352381,206.1142857,-25.75,5.5,-18.9421536,0.33267064,-97.48279048,0
470,1,3,110,76,20,142.2,35.7,614.2666667,44.97142857,-24.75,-9.0,-10.87651547,-0.16262483,0.0,0
471,1,5,108,68,73,108.7,6.8,120.4571429,8.742857143,1.0,1.75,-12.60108078,0.88605154,0.0,0
472,1,3,229,117,45,9.7,4.0,807.5238095,78.45714286,-4.75,-2.5,-2.2662604,-1.44939151,0.0,0
473,1,4,216,137,73,847.7,5.7,798.3809524,24.98095238,-52.25,3.5,-70.1530743,2.40448528,-67.66874162,0
474,1,3,110,107,55,58.7,3.7,305.8571429,18.20952381,-16.5,-1.0,-7.8228646,0.06812831,0.0,0
475,1,4,109,226,38,111.5,11.2,290.0285714,310.352381,8.75,2.75,3.2529133,-0.30999028,0.0,0
476,1,4,217,172,76,1661.8,48.8,1234.409524,47.52380952,-56.75,10.75,-25.2118717,2.35738531,-48.61407208,0
477,1,4,112,122,74,54.8,5.8,327.2666667,1077.257143,10.5,0.75,6.967252,-0.01513565,0.0,0
478,1,3,229,118,40,4.3,7.8,830.8380952,240.552381,3.25,-3.0,4.0738334,-1.52514467,0.0,0
479,1,4,110,141,71,56.3,4.7,462.0952381,791.3809524,13.0,-4.0,3.2850849,0.10426668,0.0,0
480,1,6,110,118,73,152.2,4.8,152.2,4.8,-22.25,-0.5,97.21446153,0.0081585,0.0,0
481,1,2,108,190,71,748.7,4.7,2232.238095,10.52380952,34.0,-3.5,5.6894171,0.96823672,0.0,0
482,1,3,215,77,29,41.2,6.3,1053.066667,512.6952381,-6.5,5.5,-5.08630668,0.34364605,0.0,1
483,1,4,216,175,67,318.3,6.7,666.5238095,30.02857143,-6.75,-3.5,-17.5297582,-1.72924467,0.0,0
484,1,3,228,52,44,4.7,1.3,1042.980952,286.0285714,2.25,1.75,-2.26835703,0.00260427,0.0,1
